--------------------------------------------------------------------------------
Marvellous Process Logger : Fri Apr 26 00:25:58 2019
--------------------------------------------------------------------------------

{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05078125}
{'name': 'MicrosoftEdge.exe', 'pid': 3276, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 21.68359375}
{'name': 'AdminService.exe', 'pid': 3308, 'username': None, 'vms': 79.5625}
{'name': 'armsvc.exe', 'pid': 3316, 'username': None, 'vms': 3.59765625}
{'name': 'svchost.exe', 'pid': 3324, 'username': None, 'vms': 6.68359375}
{'name': 'svchost.exe', 'pid': 3332, 'username': None, 'vms': 2.1640625}
{'name': 'IntelCpHDCPSvc.exe', 'pid': 3352, 'username': None, 'vms': 1.4375}
{'name': 'esif_uf.exe', 'pid': 3368, 'username': None, 'vms': 1.765625}
{'name': 'svchost.exe', 'pid': 3376, 'username': None, 'vms': 33.53125}
{'name': 'svchost.exe', 'pid': 3392, 'username': None, 'vms': 14.2734375}
{'name': 'chrome.exe', 'pid': 3412, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 20.45703125}
{'name': 'svchost.exe', 'pid': 3420, 'username': None, 'vms': 7.01171875}
{'name': 'svchost.exe', 'pid': 3536, 'username': None, 'vms': 1.58984375}
{'name': 'SecurityHealthService.exe', 'pid': 3544, 'username': None, 'vms': 9.8046875}
{'name': 'sqlwriter.exe', 'pid': 3552, 'username': None, 'vms': 2.17578125}
{'name': 'SynTPEnhService.exe', 'pid': 3564, 'username': None, 'vms': 1.31640625}
{'name': 'svchost.exe', 'pid': 3572, 'username': None, 'vms': 2.3828125}
{'name': 'svchost.exe', 'pid': 3620, 'username': None, 'vms': 1.34765625}
{'name': 'WavesSysSvc64.exe', 'pid': 3664, 'username': None, 'vms': 2.21875}
{'name': 'svchost.exe', 'pid': 3680, 'username': None, 'vms': 1.59765625}
{'name': 'svchost.exe', 'pid': 3700, 'username': None, 'vms': 5.921875}
{'name': 'svchost.exe', 'pid': 3708, 'username': None, 'vms': 30.375}
{'name': 'svchost.exe', 'pid': 3796, 'username': None, 'vms': 2.60546875}
{'name': 'dasHost.exe', 'pid': 3892, 'username': None, 'vms': 5.90625}
{'name': 'svchost.exe', 'pid': 3900, 'username': None, 'vms': 3.98046875}
{'name': 'SkypeApp.exe', 'pid': 3916, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 189.6875}
{'name': 'conhost.exe', 'pid': 3980, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 7.734375}
{'name': 'svchost.exe', 'pid': 3996, 'username': None, 'vms': 2.421875}
{'name': 'svchost.exe', 'pid': 4068, 'username': None, 'vms': 3.9296875}
{'name': 'IntelCpHeciSvc.exe', 'pid': 4092, 'username': None, 'vms': 1.44921875}
{'name': 'svchost.exe', 'pid': 4292, 'username': None, 'vms': 3.94140625}
{'name': 'RdrCEF.exe', 'pid': 4396, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 78.9375}
{'name': 'svchost.exe', 'pid': 4436, 'username': None, 'vms': 2.921875}
{'name': 'SearchIndexer.exe', 'pid': 4612, 'username': None, 'vms': 52.47265625}
{'name': 'Calculator.exe', 'pid': 5132, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 15.6796875}
{'name': 'svchost.exe', 'pid': 5392, 'username': None, 'vms': 4.79296875}
{'name': 'SynTPEnh.exe', 'pid': 5436, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 6.58203125}
{'name': 'chrome.exe', 'pid': 5580, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 69.69921875}
{'name': 'svchost.exe', 'pid': 5652, 'username': None, 'vms': 1.95703125}
{'name': 'sublime_text.exe', 'pid': 5700, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 38.94140625}
{'name': 'svchost.exe', 'pid': 5972, 'username': None, 'vms': 2.1953125}
{'name': 'chrome.exe', 'pid': 6092, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 40.453125}
{'name': 'svchost.exe', 'pid': 6288, 'username': None, 'vms': 4.89453125}
{'name': 'RtkNGUI64.exe', 'pid': 6328, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 4.2421875}
{'name': 'SynTPHelper.exe', 'pid': 6424, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 1.01171875}
{'name': 'ctfmon.exe', 'pid': 6928, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 28.9453125}
{'name': 'svchost.exe', 'pid': 7032, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 11.6484375}
{'name': 'chrome.exe', 'pid': 7092, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 23.9375}
{'name': 'MSASCuiL.exe', 'pid': 7316, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 1.9609375}
{'name': 'taskhostw.exe', 'pid': 7324, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 10.73828125}
{'name': 'WavesSvc64.exe', 'pid': 7552, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 22.89453125}
{'name': 'chrome.exe', 'pid': 7572, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 20.9453125}
{'name': 'chrome.exe', 'pid': 7740, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 25.87890625}
{'name': 'winlogon.exe', 'pid': 7808, 'username': None, 'vms': 2.28125}
{'name': 'sedsvc.exe', 'pid': 7960, 'username': None, 'vms': 5.19140625}
{'name': 'chrome.exe', 'pid': 8100, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 96.5234375}
{'name': 'svchost.exe', 'pid': 8236, 'username': None, 'vms': 1.8125}
{'name': 'OneDrive.exe', 'pid': 8240, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 14.34765625}
{'name': 'browser_broker.exe', 'pid': 8352, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 1.9609375}
{'name': 'svchost.exe', 'pid': 8496, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 8.75390625}
{'name': 'svchost.exe', 'pid': 8560, 'username': None, 'vms': 1.94921875}
{'name': 'dllhost.exe', 'pid': 8608, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 4.75390625}
{'name': 'SystemSettings.exe', 'pid': 8616, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 16.921875}
{'name': 'dptf_helper.exe', 'pid': 8668, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 1.3125}
{'name': 'svchost.exe', 'pid': 8744, 'username': None, 'vms': 2.38671875}
{'name': 'svchost.exe', 'pid': 8756, 'username': None, 'vms': 2.6171875}
{'name': 'SkypeBackgroundHost.exe', 'pid': 8988, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 1.98046875}
{'name': 'svchost.exe', 'pid': 9056, 'username': None, 'vms': 3.2421875}
{'name': 'RdrCEF.exe', 'pid': 9212, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 79.0234375}
{'name': 'RuntimeBroker.exe', 'pid': 9328, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 8.77734375}
{'name': 'svchost.exe', 'pid': 9396, 'username': None, 'vms': 4.75390625}
{'name': 'RuntimeBroker.exe', 'pid': 9404, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 8.16796875}
{'name': 'bittorrentie.exe', 'pid': 9468, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 26.96875}
{'name': 'RdrCEF.exe', 'pid': 9600, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 15.51953125}
